Genome	EHI01105	EHI01143	EHI01279	EHI01219	EHI01370	EHI01133	EHI01114	EHI01096	EHI01093	EHI01221	EHI01224	EHI01130	EHI01401	EHI01317	EHI01321	EHI01131	EHI01196	EHI01244	EHI01087	EHI01092	EHI01223	EHI01098	EHI01532	EHI01152	EHI01134	EHI01535	EHI01313	EHI02806	EHI01106	EHI01111	EHI01126	EHI01151	EHI01113	EHI01184	EHI01125	EHI01094	EHI01193	EHI01102	EHI02812	EHI01110	EHI01108	EHI01088	EHI01129	EHI01403	EHI00127	EHI01186	EHI02789	EHI01095	EHI01132	EHI01194	EHI01139	EHI01101	EHI01369	EHI01120	EHI01115	EHI01122	EHI01141	EHI01107	EHI01567	EHI01117	EHI01109	EHI01541	EHI01112	EHI01292	EHI01155	EHI01128	EHI01127	EHI02773	EHI01324	EHI01154	EHI01195	EHI01124	EHI01181	EHI01257	EHI01104	EHI01367	EHI01153	EHI01320	EHI01136	EHI01183	EHI01328	EHI01220	EHI01364	EHI01285	EHI01233	EHI01540	EHI01138	EHI01182	EHI01099	EHI01191	EHI01192	EHI01103	EHI01283	EHI01145	EHI01097	EHI01188	EHI01100	EHI01190	EHI01280	EHI01118	EHI01149	EHI02838	EHI01189	EHI00165	EHI01140	EHI01091	EHI01376	EHI01562	EHI01248	EHI01187	EHI01185	EHI02829	EHI01123	EHI01404	EHI01135	EHI01119	EHI01137	EHI01121	EHI01148	EHI01144	EHI01365	EHI01146	EHI02835	EHI01246	EHI01147	EHI01116	EHI01089	EHI01142	EHI02837	EHI01090	EHI01150
EHA00548_bin.10	0	0	0	2	0	0	0	0	0	0	12	0	0	0	0	0	57	6181131	2	0	4	2	109	1	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1948332	0	0	53	0	0	5	80	0	0	0	0	0	0	4	0	0	19	0	0	0	8	0	0	0	0	9	0	0	0	7	10	0	1	0	0	0	5	0	0	3	3	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	14	1120	0	0	9	39	0	2	0	0	0	0	2	0	0	6	0	0	0	2	0	212	0	4	0	0	0	44	0
EHA00548_bin.1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	288515	0	0	3	2	212	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	102503	0	0	0	0	0	0	4	0	0	0	0	0	0	5802	0	0	34714	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	559	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	169	0	0	0	16934	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	8153	0	0	0	0	4	3	0
EHA00548_bin.2	31	226	1	18	154	4	6	1	2	0	23	16	6	3157	6067	8	54	3782136	78	4	288	21	1128	468	0	110	2031	270	168	0	592	0	0	445	2	1	0	29	120	269	2	0	4	3	1209803	21	131	42	5	0	197	17	0	8	0	0	0	20	92	37	13	2275	2	1265	0	36	170	132	1480	0	334	0	0	197	64	1	2	2583	2	2	1454	2	4	2479	627	14	4	583	2	0	0	5	1996	1	37	4	10	0	3559	0	2	252	1	118	0	0	8	398	203	4	423	196	2	9	0	0	0	11	4	0	1	6	281	113	79	395	507	0	622	3691	3
EHA00548_bin.4	0	0	9	0	1	0	0	0	0	0	2	0	1	5	11	0	0	5793341	13	0	8	4	3745	0	0	37154	4	5	0	0	8	0	0	23	0	0	0	0	3	2	0	0	4	4	1858614	1	0	3	0	0	0	10	4	0	0	0	0	0	5570	0	0	2320	0	59	0	0	11	0	10	0	22	0	0	0	0	9	0	24	0	0	9	0	11	11	25	39647	0	10	0	0	0	0	7	0	0	0	0	0	12	0	0	0	0	155969	0	0	4	56467	0	0	16	2	0	5	0	0	0	2	0	0	3	0	7	18551	0	0	9	0	1	17	0
EHA00548_bin.7	0	1	200	12	0	0	1	4	1	1	14	2	4	19	0	5	8	507065	2	0	0	0	62	0	0	402	0	1	0	0	8	0	1	0	3	0	0	2	0	4	0	0	1	0	163406	14	0	10688	0	0	8	590	2	0	0	2	0	0	615	1	0	83	2	0	0	0	0	4	0	0	628	0	0	0	0	18	0	4	0	0	0	9	0	0	3	50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	60	62	8	0	3	334	0	9	190	0	1	0	5	4	0	0	2	0	4	7	0	975	2	0	0	0	0	0	0
EHA00548_bin.8	270	772	0	0	0	0	0	0	0	0	2	0	2	419	2680	0	44	911380	11	2	0	2	524393	5	0	53926	685	0	481	0	1469	0	0	1731	0	0	0	0	0	8	0	0	0	0	349821	0	0	5	0	0	839	8	0	0	0	0	2	0	3284	2	0	2867469	0	15	0	0	9	0	13	0	2	0	0	0	51	0	0	25183	0	0	582	6	0	9	1	12612	0	6	0	0	0	2	14	0	0	0	0	0	129	0	0	0	0	556	0	0	3458	189915	0	1	15	2	0	0	0	4	0	0	0	0	0	2	1	1447604	2	458	182	0	0	1568	0
EHA00548_bin.9	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	236656	0	0	2	0	135	2	0	5	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	85742	0	0	0	0	0	0	2	0	0	0	0	0	0	9571	0	0	37746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	5192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	75911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34524	0	6	2	0	0	10	0
EHA00551_bin.10	15	0	353	1	28	0	0	0	0	0	0	6	57	7	0	0	37	21	4	0	175	0	109	0	0	442	0	2	0	0	120	0	0	20	0	0	0	0	19	6	0	0	0	127	8	0	2	4228	0	0	131	38	68	0	0	0	0	0	287	0	4	390	0	110	0	0	0	0	0	0	1988	0	0	0	2	94	0	12	0	0	0	19	0	0	8	55	0	0	0	0	0	0	0	0	0	2	0	0	17	0	0	19	554	377195	69	0	822	90	0	1	93	5	0	0	0	2	0	0	0	2	86	19	0	173	0	40	413	0	3	12	0
EHA00551_bin.1	0	0	53924	20	37	0	0	0	0	3	0	17	1364	2	0	0	353	3	0	0	97	0	779	0	0	330	0	20	0	0	16	0	4	0	0	0	2	0	2	0	0	0	0	28	6	0	76	1613	0	9	0	26	60655	0	0	0	0	0	194	0	0	427	0	2	0	0	0	0	2	0	14397	0	0	0	0	16638	0	1	0	1	0	5	10	5	0	219	0	0	0	0	1	0	8	0	0	2	0	0	8	0	0	76	11143	192762	754	0	57647	580	43	0	4	40	2	6	0	0	0	0	0	12	53001	722	11	356	0	0	0	0	7	1	0
EHA00551_bin.2	15	2	80	5	54	0	0	0	0	0	4	0	93	2	0	0	1656	38447	36	0	7	0	429	0	0	50170	0	4	6	0	177	0	0	325	2	0	0	0	0	14	0	0	0	209	11797	2	0	171	1	0	470	154	5	0	0	0	0	1	4281	4	23	7501	0	0	0	0	0	0	0	2	39	0	0	17	11	18	0	44	2	0	0	8	97	0	19	7143	0	2	0	0	0	0	0	0	1	5	0	0	307	0	0	2	12	326705	29	0	75	6646	0	1	10	18	2	49	0	0	0	2	0	0	14	0	0	2365	0	0	66	1	16	62	0
EHA00551_bin.3	1349	154	50	6	2	0	0	0	0	0	0	1	10	1	0	0	367	275033	89	0	307	8	309	7	0	1597	0	2	144	0	58	0	0	1037	0	0	0	2	85	372	0	0	0	6	86467	8	564	1399	0	1	1869	77	7	0	0	0	0	34	654	0	62	5966	0	52	0	0	2	1	10	0	1344	0	2	2	10	4	0	4789	0	0	2	5	0	0	2	779	0	0	0	0	4	0	13	0	2	2	0	0	376	0	0	3	156	1621353	62	0	174	3599	6	0	984	165	2	0	0	0	0	1	0	2	9	8	0	5786	4	1395	590	0	8	2719	0
EHA00551_bin.4	0	0	0	0	0	0	0	0	0	0	5	0	39	0	4	0	14	276806	0	0	3	0	4515	2	0	538227	1	1	0	0	38	0	0	2	0	0	0	0	0	2	0	0	0	0	97877	0	0	9	0	0	0	46	0	0	0	0	0	0	147	0	0	36825	0	3	0	0	6	0	1	0	34	0	0	0	2	1938	0	132	0	0	0	0	484	0	9	31009	0	1	0	0	0	0	1	0	0	0	0	0	8	0	0	0	9	380402	2	0	113	1196	0	0	2	0	0	1512	0	0	0	0	0	0	0	0	0	136832	0	2	17	0	2	42	0
