Genome	EHI01105	EHI01143	EHI01279	EHI01219	EHI01370	EHI01133	EHI01114	EHI01096	EHI01093	EHI01221	EHI01224	EHI01130	EHI01401	EHI01317	EHI01321	EHI01131	EHI01196	EHI01244	EHI01087	EHI01092	EHI01223	EHI01098	EHI01532	EHI01152	EHI01134	EHI01535	EHI01313	EHI02806	EHI01106	EHI01111	EHI01126	EHI01151	EHI01113	EHI01184	EHI01125	EHI01094	EHI01193	EHI01102	EHI02812	EHI01110	EHI01108	EHI01088	EHI01129	EHI01403	EHI00127	EHI01186	EHI02789	EHI01095	EHI01132	EHI01194	EHI01139	EHI01101	EHI01369	EHI01120	EHI01115	EHI01122	EHI01141	EHI01107	EHI01567	EHI01117	EHI01109	EHI01541	EHI01112	EHI01292	EHI01155	EHI01128	EHI01127	EHI02773	EHI01324	EHI01154	EHI01195	EHI01124	EHI01181	EHI01257	EHI01104	EHI01367	EHI01153	EHI01320	EHI01136	EHI01183	EHI01328	EHI01220	EHI01364	EHI01285	EHI01233	EHI01540	EHI01138	EHI01182	EHI01099	EHI01191	EHI01192	EHI01103	EHI01283	EHI01145	EHI01097	EHI01188	EHI01100	EHI01190	EHI01280	EHI01118	EHI01149	EHI02838	EHI01189	EHI00165	EHI01140	EHI01091	EHI01376	EHI01562	EHI01248	EHI01187	EHI01185	EHI02829	EHI01123	EHI01404	EHI01135	EHI01119	EHI01137	EHI01121	EHI01148	EHI01144	EHI01365	EHI01146	EHI02835	EHI01246	EHI01147	EHI01116	EHI01089	EHI01142	EHI02837	EHI01090	EHI01150
EHA00548_bin.10	0	0	0	1.6000953e-05	0	0	0	0	0	0	0.00039818764	0	0	0	0	0	0.00090759504	1	4.2756645e-05	0	0.00010964587	4.6428995e-05	0.0005584595	3.9346603e-05	0	0.000961631	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015555024	0	0	0	0	0.9999989	0	0	0.0011599379	0	0	8.708715e-05	0.0010938356	0	0	0	0	0	0	5.4822936e-05	0	0	0.00050730887	0	0	0	7.266006e-05	0	0	0	0	8.052938e-05	0	0	0	0.00020486466	0.0002352927	0	3.9346603e-05	0	0	0	0.00015082865	0	0	3.410039e-05	8.34148e-05	0	0	0	0	4.537975e-05	5.0101346e-05	0	0	0	0	0	0	0	0	0	0	0.00028775484	0.009043949	0	0	0.00024447357	0.0005710504	0	7.869321e-05	0	0	0	0	1.5738642e-05	0	0	4.2232023e-05	0	0	0	5.980684e-05	0	0.0016439011	0	5.0101346e-05	0	0	0	0.0008711338	0
EHA00548_bin.1	0	0	0	0	5.7409103e-05	0	0	0	0	0	0	0	6.523762e-05	0	0	0	0	0.9904423	0	0	0.00016135437	5.5669432e-05	0.008739231	0	0	0.00084678427	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026399488	0	0	0	0	0.98890656	0	0	0	0	0	0	6.175828e-05	0	0	0	0	0	0	0.110806525	0	0	0.49058643	0	0	0	0	0	0	0	0	5.0015504e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	6.523762e-05	0.011287847	0	0	0	0	0	0	0	0	0	0	0	0	9.698659e-05	0	0	0	0	0.006311522	0	0	0	0.22527245	0	0	0.00019484301	0.000102640515	0	0	0	0	0	0	0	0	0	0	0	0.035717595	0	0	0	0	5.1755174e-05	0.000102640515	0
EHA00548_bin.2	0.00039876727	0.0012266586	3.642819e-05	0.00029943974	0.00060762226	3.7156755e-05	2.7685426e-05	3.642819e-05	7.285638e-05	0	0.00044490965	0.00015906976	9.811326e-05	0.003100525	0.0033982645	4.371383e-05	0.0008342056	0.99999905	0.0004963948	2.6228297e-05	0.0023413613	0.0003548106	0.004623466	0.0026784434	0	0.0018779947	0.0029837117	0.0004463668	0.0013114149	0	0.008450126	0	0	0.004764565	3.15711e-05	1.9671223e-05	0	0.00013575573	0.0002690829	0.0019527939	6.0713654e-05	0	9.325617e-05	4.905663e-05	0.99999416	0.00047988072	0.00041163855	0.0007511493	6.241364e-05	0	0.00097360415	0.00030745394	0	5.4399432e-05	0	0	0	0.00027296858	0.0014287137	0.00054593716	0.00021468347	0.048684336	1.845695e-05	0.0030121258	0	0.00031546815	0.0011674021	0.00047016653	0.003014797	0	0.002550459	0	0	0.0005150946	0.0006034937	3.5213918e-05	1.6514114e-05	0.003130396	3.9585302e-05	5.8770816e-05	0.0030723538	5.318516e-05	6.362791e-05	0.0030106686	0.0027267716	0.0001850552	2.428546e-05	0.00287637	2.209977e-05	0	0	0.0001262844	0.0030398113	2.792828e-05	0.00044952388	9.398474e-05	2.6471153e-05	0	0.00313161	0	5.4885142e-05	0.00030113972	3.642819e-05	0.0014350279	0	0	0.00016562684	0.0070928116	0.00031692526	9.8841825e-05	0.0027935565	0.0003477678	1.7242677e-05	0.00011268454	0	0	0	0.00016198402	7.431351e-05	0	3.642819e-05	0.00010054181	0.00047769502	0.0007324495	0.0010753602	0.0024331603	0.0024331603	0	0.0011091171	0.005828025	2.5256879e-05
EHA00548_bin.4	0	0	0.00010717586	0	3.8645143e-05	0	0	0	0	0	4.2252024e-05	0	3.8645143e-05	0.000113359085	0.00012057285	0	0	1	0.000145821	0	0.00013938015	4.9465783e-05	0.082900785	0	0	0.5463284	4.7919977e-05	7.110706e-05	0	0	0.00013500036	0	0	0.00021048721	0	0	0	0	4.2509655e-05	6.9561254e-05	0	0	1.5973326e-05	2.5505795e-05	0.99999946	3.8645143e-05	0	5.5649005e-05	0	0	0	9.7128126e-05	6.621201e-05	0	0	0	0	0	0.09575339	0	0	0.049103033	0	9.815866e-05	0	0	4.688944e-05	0	8.244297e-05	0	0.00019528679	0	0	0	0	5.5133736e-05	0	0.00014788208	0	0	9.249071e-05	0	5.2299758e-05	8.295824e-05	8.862619e-05	0.6229097	0	4.3024924e-05	0	0	0	0	0.00012907478	0	0	0	0	0	0.00016540122	0	0	0	0	0.9711705	0	0	4.199439e-05	0.6083315	0	0	5.4618467e-05	6.23475e-05	0	5.5649005e-05	0	0	0	4.7147074e-05	0	0	7.703265e-05	0	0.00011207091	0.19506419	0	0	9.5839954e-05	0	3.8645143e-05	0.00011593543	0
EHA00548_bin.7	0	2.2786762e-05	0.006697838	0.00037928933	0	0	2.2051705e-05	2.352182e-05	2.352182e-05	5.5129265e-05	0.0004575729	2.352182e-05	7.1300514e-05	0.000750493	0	2.352182e-05	0.00021610671	0.99947774	0.00011025853	0	0	0	0.0016259458	0	0	0.011878886	0	5.5129265e-05	0	0	0.000105480656	0	2.352182e-05	0	2.352182e-05	0	0	2.352182e-05	0	5.990713e-05	0	0	2.352182e-05	0	0.99935716	0.00034584425	0	0.22363003	0	0	7.24031e-05	0.015603419	5.6599376e-05	0	0	2.352182e-05	0	0	0.013238741	2.352182e-05	0	0.0025874001	2.2051705e-05	0	0	0	0	0.00018927714	0	0	0.02075874	0	0	0	0	0.00059796876	0	9.776256e-05	0	0	0	0.00022933773	0	0	2.352182e-05	0.0017240759	0	0	0	0	2.352182e-05	0	0	0	0	0	0	0	0	0	0	0	0.0023191043	0.0019427552	0.0003230575	0	9.665998e-05	0.007864373	0	0.00039766575	0.00627077	0	2.352182e-05	0	2.315429e-05	0.00019368748	0	0	2.352182e-05	0	0.00012863494	0.00022198717	0	0.015643848	2.352182e-05	0	0	0	0	0	0
EHA00548_bin.8	0.009005159	0.016410211	0	0	0	0	0	0	0	0	9.762678e-05	0	0.00012152711	0.012842175	0.06792029	0	0.0014562999	0.99986184	0.00032650284	8.0207894e-05	0	4.6585392e-05	0.9673485	0.0001515038	0	0.57598907	0.027080696	0	0.015516986	0	0.04468633	0	0	0.05038028	0	0	0	0	0	0.00027100547	0	0	0	0	0.9996784	0	0	0.00021186227	0	0	0.021771582	0.0002438644	0	0	0	0	0.00012152711	0	0.10648084	0.00012152711	0	0.8752087	0	0.0005715825	0	0	0.0003483777	0	0.0005578094	0	0.00012031184	0	0	0	0.001676264	0	0	0.14072555	0	0	0.024492573	0.00024305422	0	0.00038524094	6.0763556e-05	0.2647083	0	0.00022968624	0	0	0	0.00012152711	0.0005213513	0	0	0	0	0	0.0038750945	0	0	0	0	0.020712676	0	0	0.12062619	0.35322177	0	6.0763556e-05	0.0006732602	3.2407228e-05	0	0	0	0.00011707112	0	0	0	0	0	9.074024e-05	6.0763556e-05	0.72832775	8.101807e-05	0.013793327	0.006499675	0	0	0.039434332	0
EHA00548_bin.9	0	0	0	4.7844525e-05	0	0	0	0	0	0.00010556999	0	0	0	0	0	0	0	0.9845816	0	0	7.800738e-05	0	0.00040875867	0.00012377171	0	0.00021113998	0	0	0	0	0.00027926642	0	0	0	0	0	0	0	0	0	0	0	0	0	0.983089	0	0	0	0	0	0	0.00015601476	0	0	0	0	0	0	0.28919154	0	0	0.5397466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7844525e-05	0	0	0	0	0.0002673053	0	0	0	0.20527798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056274524	0	0	0	0.79229236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41063967	0	0.0002558642	3.5883393e-05	0	0	0.00024338302	0
EHA00551_bin.10	0.00016088753	0	0.0067357803	3.3241227e-05	0.0005012777	0	0	0	0	0	0	7.8227684e-05	0.00084299746	6.603923e-05	0	0	0.00045983694	0.00037540426	3.0803534e-05	0	0.0030362536	0	0.001627712	0	0	0.005669402	0	6.6482455e-05	0	0	0.0011262128	0	0	0.0002818856	0	0	0	0	0.00032044543	0.00011878198	0	0	0	0.0017726438	0.00015512572	0	3.3241227e-05	0.07665515	0	0	0.0018435584	0.00057152746	0.0007217778	0	0	0	0	0	0.0040680612	0	6.603923e-05	0.005025187	0	0.0025086044	0	0	0	0	0	0	0.030408187	0	0	0	1.9944735e-05	0.0011528058	0	0.0002142951	0	0	0	0.0002628273	0	0	0.00013518098	0.0011649942	0	0	0	0	0	0	0	0	0	3.7895e-05	0	0	0.00028631775	0	0	0.000368756	0.010845282	0.99890506	0.0016831141	0	0.01192119	0.0012948565	0	3.3241227e-05	0.0019505951	0.0001165659	0	0	0	3.3241227e-05	0	0	0	3.279801e-05	0.0005229953	0.00031778612	0	0.0015565758	0	0.00020166344	0.004901308	0	7.180105e-05	0.00013673224	0
EHA00551_bin.1	0	0	0.20725873	0.0005260317	0.00078848674	0	0	0	0	0.00012618031	0	0.00034601445	0.025603106	8.4120205e-05	0	0	0.006878229	6.337056e-05	0	0	0.0018887791	0	0.0130647095	0	0	0.0056660566	0	0.00046434355	0	0	0.00020917892	0	0.00010486986	0	0	0	5.215453e-05	0	2.832047e-05	0	0	0	0	0.0003611561	0.00018478406	0	0.0023993887	0.03570258	0	0.00027086708	0	0.00041415181	0.06287705	0	0	0	0	0	0.0029652372	0	0	0.008269858	0	6.140775e-05	0	0	0	0	6.701577e-05	0	0.2269768	0	0	0	0	0.054908905	0	4.2060103e-05	0	4.2060103e-05	0	0.00012618031	0.00019487848	9.169103e-05	0	0.0046201623	0	0	0	0	4.14993e-05	0	0.0002520802	0	0	8.4120205e-05	0	0	0.00022656376	0	0	0.002074965	0.22138223	0.99797076	0.02016838	0	0.103453554	0.0087398095	0.0008538201	0	4.2060103e-05	0.0011204812	2.5236062e-05	8.4120205e-05	0	0	0	0	0	0.00013655514	0.06350739	0.0150681725	0.00033900444	0.0043117213	0	0	0	0	0.00017833484	4.2060103e-05	0
EHA00551_bin.2	0.0002831789	4.2324587e-05	0.00018817694	0.00013519509	0.0011808255	0	0	0	0	0	9.104354e-05	0	0.0008075166	6.912001e-05	0	0	0.044259645	0.63460237	0.0009978251	0	0.0002225847	0	0.013479316	0	0	0.7108893	0	3.7452694e-05	0.00010261429	0	0.0026804558	0	0	0.008799556	2.0401061e-05	0	0	0	0	0.00039279653	0	0	0	0.0028579754	0.29568687	9.073904e-05	0	0.004147201	4.2629083e-05	0	0.011143242	0.003485841	9.378398e-05	0	0	0	0	4.3847056e-05	0.08736496	0.00015742311	0.00024146329	0.18352795	0	0	0	0	0	0	0	2.6186435e-05	0.0007368741	0	0	0.00028835528	0.00024176779	0.00033007088	0	0.00015498717	3.0449344e-05	0	0	0.00012027491	0.0024286397	0	0.00015529165	0.17732236	0	4.4760534e-05	0	0	0	0	0	0	4.5674016e-05	0.00014189395	0	0	0.0012493366	0	0	2.5577448e-05	0.00040254032	0.99993545	0.00077463133	0	0.00086871977	0.136822	0	4.5674016e-05	0.00030601592	0.00019670276	3.105833e-05	0.0009326634	0	0	0	3.1971813e-05	0	0	0.00021010048	0	0	0.02981204	0	0	0.0011942233	4.5674016e-05	0.00021040496	0.0007944234	0
