EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI01123	AIG35	Cathartes aura	Florida, 4.1 mi N of Brooker	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	10354104	8164062	0.12407652079988585	0	1291470703	0.2716385622185643	10.7198669125886	0.906972057631533
EHI01122	AIG24	Cathartes aura	Florida, 4.1 mi N of Brooker	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	31548882	25960428	0.09913524198170542	0	4195921076	0.20124852077809452	11.7189281990927	0.923121590616538
EHI01150	AIH90	Coragyps atratus	Texas, 7.8 mi N of Alice	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	37822202	30780004	0.05737096478820092	0	5227417337	0.13145981276187257	11.8715569566199	0.913888664712249
EHI01117	AIH26	Coragyps atratus	Florida, 4.1 mi N of Brooker	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	19220816	15053401	0.03250172954366626	0	2780003173	0.06710576639388599	12.5462861494666	0.883889876915211
EHI01151	AII35	Coragyps atratus	Texas, 7.8 mi N of Alice	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	33999574	27701360	0.05526344614536827	0	4699271098	0.12948454731556502	12.0004740958015	0.90640928945692
EHI01532	AAW46	Psittacula echo	Bel Ombre	Faecal	Psittaciformes	Unknown	recxJddnYy3ExEL7a	-20.47	57.44	93.56	61686342	9125344	0.016326064717559596	7838962047	1377880516	0.020164755992511885	18.7259975174788	0.888577350307026
EHI01146	AIG09	Cathartes aura	Florida, 4.1 mi N of Brooker	Stomach contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.95	-82.32	0.24	26549002	3445444	0.09125890325921382	3089107080	478267809	0.18595303654844209	19.4692480910957	0.606532483791083
EHI01142	AIG33	Cathartes aura	Florida, 4.1 mi N of Brooker	Duodenum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	30999774	25955848	0.06405763079980542	0	4251681000	0.14422421526396667	11.9756949994987	0.91287453760303
EHI01317	AGC05	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	recLVY3Rb8dPMd92q	70.3	-21.95	89.31	41246332	3685371	0.01862088006580609	5583636504	559944877	0.025500014735875265	17.7288999064984	0.950980010985752
EHI01320	AGC24	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	recLVY3Rb8dPMd92q	70.3	-21.95	96.31	73156044	322553	0.01692633703232338	10841350545	48449012	0.024416434228931916	17.317285313442	0.983121041085614
EHI01401	AGZ07	Perisoreus infaustus	Arvidsjaur	Faecal	Passeriformes	Unknown	recsoxFuQT1UqV2yf	65.66	19.2	2.92	35587306	412467	0.034212262182886755	5145718475	62221420	0.0577605603002479	20.0838850090213	0.718200630181159
EHI01376	AGZ04	Perisoreus infaustus	Arvidsjaur	Faecal	Passeriformes	Unknown	recsoxFuQT1UqV2yf	65.66	19.2	94.03	43611450	182987	0.05536233112103561	6458643766	30332458	0.06297828152157525	16.5288824140057	0.985849122355296
EHI01127	AIF70	Coragyps atratus	Florida, Lake Butler	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	30.03	-82.35	8.52	42457266	30838276	0.05138139470660863	1442812985	4180238155	0.1624313994656471	12.5140040704646	0.902072104065646
EHI01089	AIF81	Cathartes aura	Florida, 4.1 mi N of Brooker	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	61.93	38082656	15720033	0.03862591256639847	3046705271	2298098614	0.100490617486791	15.507180766522	0.949988040277412
EHI01129	AIH88	Coragyps atratus	Texas, 7.8 mi N of Alice	Duodenum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	40905124	31795932	0.08749024640343306	0	5347426011	0.2047323310606135	11.792108681224	0.923471570256053
EHI01196	AIG48	Cathartes aura	Florida, 4.1 mi N of Brooker	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	78.13	17324726	11288736	0.027742413044002823	802437639	1732535639	0.051587885712703674	15.2541183045961	0.839728064721938
EHI01119	AIJ20	Cathartes aura	Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company	Stomach contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.35	-98.24	0.0	25557202	20129784	0.07575715384780624	0	3393895657	0.1817612946390481	12.7020146007893	0.836856236646161
