sample,individual,species,sample_type,sex,state,raw_reads,reads_lost_fastp_percent,reads_post_fastp,metagenomic reads,host_reads,read_length,metagenomic_bases,host_bases,metagenomic_bases_percent
EHI01797,SD0297201,Coragyps atratus,Colon contents,Female,Texas,36045044,0.016581697,35447356,6870672,28576684,146.8403533,0,5205102278,0.193827489
EHI01801,SD0297901,Cathartes aura,Colon contents,Male,Texas,63103374,0.0349916,60895286,10786396,50108890,147.6350495,1215533615,7774744948,0.17713023
EHI01644,SD0297701,Cathartes aura,Colon contents,Male,Texas,73406164,0.048338938,69857788,17658628,52199160,138.4228866,2190124363,7479792300,0.252779661
EHI01790,SD0297401,Coragyps atratus,Stomach contents,Female,Texas,38490082,0.035747443,37114160,7091620,30022540,147.8245639,872329573,4614054944,0.191075859
EHI01822,SD0296101,Cathartes aura,Stomach contents,Male,Florida,156688618,0.017281689,153980774,92927018,61053756,147.6739821,13312271862,9426682207,0.603497538
EHI01117,SD0296001,Coragyps atratus,Colon contents,Female,Florida,19866512,0.03250173,19220816,4167415,15053401,144.6350235,0,2780003173,0.216817798
EHI01146,SD0295001,Cathartes aura,Stomach contents,Male,Florida,29215144,0.091258903,26549002,23103558,3445444,134.3694535,3089107080,478267809,0.87022322
EHI01660,SD0297601,Cathartes aura,Colon contents,Female,Texas,50078864,0.117311008,44204062,8500872,35703190,128.930202,931852319,4767386323,0.192309747
EHI01636,SD0297601,Cathartes aura,Stomach contents,Female,Texas,44161604,0.097501033,39855802,6935432,32920370,131.0589895,0,5223461135,0.174013109
EHI01127,SD0294601,Coragyps atratus,Colon contents,Female,Florida,44756940,0.051381395,42457266,11618990,30838276,132.4402551,1442812985,4180238155,0.27366317
EHI01089,SD0294701,Cathartes aura,Colon contents,Female,Florida,39612734,0.038625913,38082656,22362623,15720033,140.3474559,3046705271,2298098614,0.587212798
EHI01196,SD0295301,Cathartes aura,Colon contents,Female,Florida,17819070,0.027742413,17324726,6035990,11288736,146.321118,802437639,1732535639,0.348403201
EHI01119,SD0297801,Cathartes aura,Stomach contents,Female,Texas,27652042,0.075757154,25557202,5427418,20129784,132.7960571,0,3393895657,0.212363544
EHI01087,SD0294901,Coragyps atratus,Colon contents,Male,Florida,32490014,0.066362791,30333886,7223130,23110756,138.5892145,901666067,3302283366,0.238120826
EHI01219,SD0294801,Cathartes aura,Stomach contents,Female,Florida,29607864,0.035542314,28555532,5014408,23541124,146.8618237,0,4193717507,0.175601981
EHI01147,SD0295201,Cathartes aura,Colon contents,Female,Florida,22889162,0.059037635,21537840,4201878,17335962,136.2804965,0,2935187528,0.195092823
EHI01824,SD0298101,Cathartes aura,Stomach contents,Male,Texas,60693606,0.023903968,59242788,9438318,49804470,147.2684036,1052735409,7671855404,0.159315899
EHI01195,SD0294601,Coragyps atratus,Stomach contents,Female,Florida,19385876,0.020665974,18985248,15065347,3919901,147.7695568,2202403704,603037979,0.793529113
EHI01796,SD0296101,Cathartes aura,Colon contents,Male,Florida,52796478,0.02717507,51361730,45989041,5372689,148.1371824,6778293215,830288748,0.895395093
EHI01098,SD0294901,Coragyps atratus,Stomach contents,Male,Florida,21152004,0.077284876,19517274,19250095,267179,135.856664,2614262907,37288829,0.986310639
EHI01787,SD0298001,Cathartes aura,Stomach contents,Female,Texas,76212706,0.031225135,73832954,12333566,61499388,147.191616,1330425274,9537166543,0.167046899
EHI01799,SD0298101,Cathartes aura,Colon contents,Male,Texas,60982784,0.020870972,59710014,12265454,47444560,146.7032878,1405862520,7353792851,0.205417034
EHI01223,SD0296401,Coragyps atratus,Stomach contents,Female,Florida,15602746,0.036403207,15034756,11870093,3164663,146.2349494,1720283008,478323775,0.789510186
EHI01140,SD0295301,Cathartes aura,Stomach contents,Female,Florida,25100386,0.025152043,24469060,24204508,264552,145.5321579,3519645399,41389705,0.989188306
EHI01186,SD0297701,Cathartes aura,Stomach contents,Male,Texas,21005100,0.032371948,20325124,3451772,16873352,147.200013,0,2991858517,0.169827845
EHI01139,SD0295001,Cathartes aura,Colon contents,Male,Florida,27789460,0.067650901,25909478,7975498,17933980,134.0609118,987536266,2485911979,0.30782164
EHI01185,SD0296301,Coragyps atratus,Stomach contents,Female,Florida,17940552,0.027669829,17444140,8096073,9348067,147.1026006,1132903190,1433175170,0.464114195
EHI01634,SD0294901,Coragyps atratus,Colon contents,Male,Florida,115437576,0.072056,107119606,25725846,81393760,137.8209271,3211049835,11552273575,0.240160013
EHI01823,SD0297101,Coragyps atratus,Stomach contents,Female,Texas,96909188,0.041833722,92855116,40153992,52701124,147.2605687,5638153872,8035743318,0.432437045
EHI01795,SD0295901,Cathartes aura,Colon contents,Male,Florida,35591226,0.029393817,34545064,10940460,23604604,147.3340314,1429463564,3660199979,0.316701107
EHI01656,SD0297801,Cathartes aura,Stomach contents,Female,Texas,64643732,0.081351955,59384838,12851762,46533076,131.7507493,1446217319,6377779582,0.21641487
EHI01655,SD0295601,Coragyps atratus,Stomach contents,Male,Florida,98819148,0.063259036,92567944,84594461,7973483,142.7241268,12031838452,1179840525,0.913863454
