Genome	EHI01184	EHI01652	EHI01139	EHI01101	EHI01106	EHI01651	EHI01147	EHI01640	EHI01233	EHI01095	EHI01186	EHI01097	EHI01790	EHI01109	EHI01828	EHI01089	EHI01638	EHI01098	EHI01824	EHI01219	EHI01645	EHI01189	EHI01788	EHI01797	EHI01146	EHI01660	EHI01798	EHI01656	EHI01648	EHI01196	EHI01128	EHI01634	EHI01182	EHI01117	EHI01792	EHI01185	EHI01152	EHI01636	EHI01120	EHI01647	EHI01187	EHI01794	EHI01789	EHI01642	EHI01823	EHI01188	EHI01802	EHI01221	EHI01104	EHI01641	EHI01653	EHI01796	EHI01822	EHI01220	EHI01650	EHI01793	EHI01090	EHI01126	EHI01125	EHI01119	EHI01799	EHI01637	EHI01661	EHI01654	EHI01635	EHI01821	EHI01801	EHI01639	EHI01107	EHI01659	EHI01643	EHI01110	EHI01192	EHI01800	EHI01195	EHI01649	EHI01791	EHI01087	EHI01795	EHI01127	EHI01644	EHI01105	EHI01787	EHI01646	EHI01143	EHI01116	EHI01224	EHI01121	EHI01655	EHI01657	EHI01223	EHI01140	EHI01658	EHI01193	EHI01820
EHA01589_bin.14	8.0391925e-05	0	0.00013023493	0.00013023493	0	0.037529632	8.735923e-05	0.9905652	0.0042500533	8.0391925e-05	0	0	0	0.00021652225	0.001006507	0.0015376296	8.0391925e-05	0.00030602526	8.6287335e-05	0.0077690757	0.00015917601	0	0.00014363357	0	9.539842e-05	0	0.00053433835	0	0.0023796011	0.00023045686	0	0.0011437092	0.0013286106	0	0.000616874	0.0014031071	0.0014968977	0	0	0.002947168	0	0	0	0.0005396978	0.001593368	0	0	0	8.0391925e-05	0.0008033833	0.00011415654	0.054410864	0.025986958	0	0.00024117577	0.00024492742	0.9990787	0	0	0	0	4.0195962e-05	0.00045555425	0.0008216055	0	0.0004668091	0	8.0391925e-05	0	0.0002749404	4.448353e-05	0.00014095384	0	0.00024117577	0.0009845331	0	0.00048556723	0.00025243065	0.002092334	0.00028833904	0.000121123834	0.00021384252	0.00016078385	0.00063563214	0.0215102	0.00020526738	8.0391925e-05	0	0	0	0.00033925392	0	8.6287335e-05	0	0.0002610058
EHA01589_bin.17	0.94211096	0.01152465	0.89080215	0.00783702	0.6084148	0.92930233	0.11067969	0.999961	0.004449659	0.29050687	0.0018283952	0.0011181973	0.00079436775	0.3760345	0.0011865186	0.88252157	0.26891693	0.00013921247	0.03026522	0.013849927	0.85684377	0.020732377	0.19205046	0.0051463638	0.00062924036	0	0.9184761	0.0006067522	0.26871005	0.39590868	0.007104762	0.67253995	0.0017806345	0.0022740893	0.95747703	0.19202839	0.16212298	1.8204708e-05	0	0.95063525	0.00036752093	0.00011329753	0.055208452	0.33616707	0.037673466	0.00017005339	0.82313657	0	0.13869096	0.9531668	0.5454278	0.9325591	0.20502634	0.0031369925	0.0006598671	0.003373011	0.9999775	0.36769825	0	0.0004152815	0.8981031	0.6690403	0.9706992	0.008829711	0.015868293	0.034664333	0.26123926	0.0019228455	0.2386348	0.8485608	0.033805072	0.650342	0.0020791919	0.5312592	0.058463454	0.0019521872	0.30706522	0.30695686	0.8791946	0.0024297931	0.8314473	0.9600792	0.029384326	0.0026418243	0.79888296	0.7680067	0.07073536	0.01512597	0.44867942	0.38261154	0.007988011	0.0046706856	0.013136089	9.337944e-05	0.026445657
EHA01589_bin.2	0.4449213	0.05745562	0.00014797639	0.00035595897	0.062375546	0.17201324	0.012981724	0.9949985	0	0.0016708516	0.0022645048	0.37227422	0	0.36130184	0.0026711486	0.19816893	0.04803232	0.00044567694	0	0.0011249701	0.03903722	0	0	0.0152205955	0	0.032092817	0.66560715	0	0.012572167	0.003565998	0.03956504	0.0118148085	0.0012164359	0.09633088	0.17463137	0.008984614	0.009489714	0	0	0.32702374	0.0033108261	0	0.002129928	0.050372563	0.00363183	0.026585648	0.4109514	0	0.034358487	0.0007154134	0.36533973	0.32270274	0.000812705	0.0012321656	0.00038508818	0.00045907637	0.99729276	0.26752093	0.019366847	0	0.030755786	0.5864188	0.060998898	0.34201422	0	0.0002621629	0.41949677	0.49603784	0.40204895	0.57359785	0.13229206	0.40151238	0	0.29072234	0.016212154	0	0.0008965971	0.0067410823	0.0030591497	0.28552976	0.12627396	0.029043572	0	0.3570653	0.1014151	0.01969892	0.0008540685	0.05940786	0.0014296616	0.5342769	0.00088086736	0	0.0009676724	0	0.0007631853
EHA01589_bin.9	0.25667745	0.00037627108	0.015186857	0.00083246257	0.026353372	0.87982804	0.17580993	0.999925	0.01533677	0.004071968	0.0007654486	0.00024224313	7.148158e-05	0.0003306023	0.13039382	0.90199876	0.017656447	0.0074122427	0.0002963507	0.0004045659	0.18725345	0.00036485388	0.001325884	0.00017125795	0.00022834394	0.0013541788	0.14909767	0.0018773843	0.29214075	0.0046041086	0.00022089794	0.37076154	0.269633	0.32345665	0.41113377	0.117001444	0.19279277	0	0	0.966635	0	0.00014891996	0.0007545278	0.52318805	0.050360758	8.5877175e-05	0.07600775	0	0.011840129	0.040817473	0.0686933	0.9899563	0.76289463	0	0.015846573	0.0020416926	0.9999856	0.034426324	0.0006726218	0.0006974418	0.14417239	0.002966982	0.5298299	0.8261935	0.0012032733	0.013416199	0.8010117	0.00014891996	0.0003196815	0.78601444	0.0003286167	0.5226063	0	0.9766831	0.011795454	0.0003603863	0.029435022	0.13036603	0.6134172	0.019961728	0.05828777	0.26497278	0.013458889	0.023318384	0.6499517	0.084916644	0.007825743	0	0.007282682	0.0007073698	0.0022710294	0.0002849335	0.0028890471	0	0.009751775
EHA01595_bin.11	0.9275383	0.0022681288	0.42250648	0.007230365	0.90526175	0.99996376	0.009606666	0.9507529	0.0021081518	0.0016958625	0.00085222593	0.00029821196	0.0002088289	0.004074579	0.0022182032	0.5861443	0.043145448	0.0022853075	0.0016405684	0.0013251777	0.8944743	0.00061038166	0.0035957224	0.0072531807	0	0.011013711	0.54820377	0.0008570574	0.028936492	0.022792682	0.0016590892	0.01651144	0.0018512763	0.005531013	0.89496684	0.0041916096	0.01861315	8.106212e-05	0	0.83398986	0.00038491085	0.0007220434	0.010792267	0.03475337	0.004119942	0.00057978206	0.15876284	0.0014639497	0.022325903	0.71084607	0.7583144	0.71845084	0.033095624	0.0006919806	0.0037556991	0.000548914	0.95015913	0.59906596	0.0097674485	0.00039296338	0.2027742	0.014230159	0.75501955	0.0193207	0.0004404733	0.0055304766	0.36080694	0.0001736662	0.050080284	0.34119877	0.001435229	0.17692961	4.0262643e-05	0.9070666	0.001700694	0.00011166173	0.016325695	0.006078048	0.72746676	0.0031281388	0.93174464	0.46236652	0.00025097045	0.0035304967	0.99998873	0.72391343	0.0023771063	0.0008702099	0.002891126	0.093578696	0.0005427404	0.00015460854	0.010493786	0.000991803	0.0024168321
EHA01595_bin.1	8.4830375e-05	0	0.0046764803	0.0007592436	0.011226984	0.99920034	0	0.66600496	0.0012994792	0.00064081006	0.0002128984	0	0.0001266581	6.8381276e-05	0.0009979906	0.08454346	0	8.436041e-05	3.524808e-05	0.011507793	0.00010386434	3.85379e-05	0.00015062679	0	5.381207e-05	0	8.08356e-05	0	2.1383836e-05	0	0	0.00090822554	0.0011105494	6.8381276e-05	7.8485726e-05	0.0016590096	0	0	0	0.16649102	3.524808e-05	0	0	4.6292476e-05	0.00027728488	5.6631914e-05	0.000105744235	0	0	0.012248708	0.6061368	0.8612878	0.8003145	0.00020138403	0.0003226374	7.660583e-05	0.67328084	0.42386216	0	0	0.0010001055	6.133166e-05	0.027605591	0.000103629354	0.0005012277	0.00021618821	0.00043731116	0	0	0.00013535263	0	3.8067927e-05	0	7.731079e-05	0.0018761378	0.00025425616	2.7728489e-05	0.0004109926	0.0017720384	5.7336874e-05	0.014843672	0.012266331	0	6.8381276e-05	0.9990986	7.284603e-05	0.00067770306	0.00011796357	0.0011655365	0	0.0011490874	0	0.0007860322	0	0.00038843384
EHA01595_bin.2	0.0050915494	0.030335207	0.023276703	0.0025250562	0.8856767	0.9995481	0.003999085	0.03022773	0.0057122386	0.0012620966	0.0022859313	0.00026545464	0.0026295118	0.0010877165	0.0015068328	0.018193787	0.048601076	0.00197904	0.011910928	0.0002883312	0.9606916	0.00012949007	0	0.00046012137	6.129197e-05	0.0018888285	0.08816417	8.2873645e-05	0.036165714	0.007630418	0.019144243	0.0782625	0.007781058	0.010590561	0.04390706	0.0075471126	0.024103712	0	6.4745036e-05	0.026337417	0.00010531859	0.00031336598	0.024477508	0.009046608	0.0061516417	0.00040444065	0.82561225	0	0.024580669	0.038364887	0.048384394	0.05361968	0.017365482	0.00011869923	0.0033568142	0.00019121366	0.032282736	0.040510103	0.0015392053	6.4745036e-05	0.9539002	0.003787153	0.17354907	0.028139919	0.0009474357	0.0024568583	0.88061965	0.0007380934	0	0.029091671	0.0039533316	0.019820182	9.495938e-05	0.020787472	0.0062988284	0.00017481159	0.04027098	0.031060351	0.0365162	0.0027300823	0.8893149	0.07733751	0.0002585485	0.0037219762	0.9996698	0.81942695	0.0050039277	0.0018538662	0.0019138632	0.00060256047	0.0053492347	0.00014805031	0.003319262	0.00020286777	0.0038441285
EHA01595_bin.5	0.9629379	0.0074960166	0.84673125	0.005120577	0.5178712	0.90855616	0.07874082	0.971537	0.003607303	0.22905384	0.00068467483	0.0010134475	0.0009224028	0.3136496	0.0006690409	0.8204037	0.20699757	0.00031037978	0.020600941	0.0077314456	0.84213346	0.013544514	0.1421521	0.004058848	0.00088193844	0.00013886622	0.88194627	0.0004952282	0.12579393	0.3331552	0.0071529895	0.593419	0.0013849835	0.0013578541	0.9470975	0.14345202	0.07847643	0.00014300461	0.00013518764	0.92832845	0.00025474135	0.0001365671	0.03558378	0.26275373	0.025815321	0.00011863405	0.7437638	8.828581e-05	0.10453959	0.9527298	0.4276698	0.89447135	0.16644128	0.0029515969	0.0002538217	0.0036031646	0.97329444	0.27715626	0.00014438407	0.00019082609	0.86250776	0.62353873	0.98286474	0.0051863315	0.011341968	0.024250548	0.1859998	0.0018103189	0.18059781	0.7719371	0.027253184	0.55399024	0.0012608317	0.51595557	0.051172663	0.0015381043	0.24472181	0.24961111	0.8123591	0.0019524038	0.7604999	0.96103007	0.020407816	0.001502698	0.88776207	0.74174976	0.056601778	0.010932266	0.36535838	0.2972983	0.0069368733	0.0036647806	0.010798458	0.0002496833	0.019530017
EHA01595_bin.6	0.0028597792	0.09192191	0.0026298815	0.00022494038	0.8833786	0.9997261	0.13285239	0.019335577	0.0013322915	0.0014909271	0.0010187383	0.08437247	0.00018342245	0.05589985	0.0006649064	0.061215386	0.002683173	0.00050627074	0	0.00026274027	0.92334986	0	0	9.914727e-05	0.00017784542	0.47332165	0.0083482005	0	0.10114571	0.24253902	0.06380375	0.0023318199	0.0034707743	0.004820416	0.005109183	0.0041133724	0.07001099	0	0	0.1309122	0.00018528146	0	0.00015801596	0.4019201	0.0020449124	0.00043314963	0.01821893	0	0.0017022347	0.0031423487	0.71226716	0.77768886	0.003331968	0.00034329743	0.0012517343	0.0006085164	0.01944216	0.67111856	0.3410945	0	0.31394923	0.13645577	0.94202423	0.016051324	0	0.0007838831	0.026880065	0.11980337	0.021123325	0.009169264	0.0023256233	0.0069657154	0	0.85690755	0.003415004	0	0.0011532067	0.001145151	0.12656955	0.012073039	0.9153022	0.7978573	0	0.015884632	0.99940014	0.8486709	0.0007590963	0.0015095172	0.003032667	0.04004868	0.0018930932	0	9.295057e-05	0	0.0015652876
EHA01595_bin.7	0.935057	0.011671155	0.7539932	0.66040725	0.20187975	0.99922854	0.030877529	0.96779805	0.0006369905	0.0028043191	0.0005985669	0.0012469644	0.00045327787	0.0008068946	0.012937931	0.8106043	0.17320018	0.00030378622	0.005365489	0.0010830639	0.79241616	0.0010890675	0.00039504215	0.09221773	0.00020292439	0.4884546	0.29988143	0.0003007844	0.12424136	0.5598162	0.0076925154	0.2297014	0.0003530164	0.008255061	0.9336089	0.00072044163	0.077283576	0.00023834611	0.00025095383	0.9411777	0.00086693146	0.0003338046	0.13129148	0.102554865	0.003797928	0.00024675127	0.120138444	0.00041185247	0.109664425	0.9346638	0.9792627	0.65973485	0.050624833	0.00045928155	0.00020292439	0.00069582654	0.97019476	0.9693032	0.37628245	0.0002833737	0.06485536	0.0019487946	0.9837402	0.034232385	0.0005751526	0.049913395	0.926985	0.0019481942	0.008286879	0.0949494	0.002492728	0.041886475	0.0010710566	0.7990334	0.00030498696	0.00044787454	0.15032795	0.07395694	0.8566111	0.0005067106	0.38005757	0.96481484	0.00025035348	0.0011064783	0.9991481	0.56839544	0.0012031376	0.002128905	0.00280612	0.01636243	0.00022874022	0.00011106808	0.84081	0.00024134795	0.002187741
