	EHI01184	EHI01652	EHI01139	EHI01101	EHI01106	EHI01651	EHI01147	EHI01640	EHI01233	EHI01095	EHI01186	EHI01097	EHI01790	EHI01109	EHI01828	EHI01089	EHI01638	EHI01098	EHI01824	EHI01219	EHI01645	EHI01189	EHI01788	EHI01797	EHI01146	EHI01660	EHI01798	EHI01656	EHI01648	EHI01196	EHI01128	EHI01634	EHI01182	EHI01117	EHI01792	EHI01185	EHI01152	EHI01636	EHI01120	EHI01647	EHI01187	EHI01794	EHI01789	EHI01642	EHI01823	EHI01188	EHI01802	EHI01221	EHI01104	EHI01641	EHI01653	EHI01796	EHI01822	EHI01220	EHI01650	EHI01793	EHI01090	EHI01126	EHI01125	EHI01119	EHI01799	EHI01637	EHI01661	EHI01654	EHI01635	EHI01821	EHI01801	EHI01639	EHI01107	EHI01659	EHI01643	EHI01110	EHI01192	EHI01800	EHI01195	EHI01649	EHI01791	EHI01087	EHI01795	EHI01127	EHI01644	EHI01105	EHI01787	EHI01646	EHI01143	EHI01116	EHI01224	EHI01121	EHI01655	EHI01657	EHI01223	EHI01140	EHI01658	EHI01193	EHI01820
EHA01589_bin.14	1	0	8	3	0	1429	2	158198	260	2	0	0	0	6	72	40	1	8	2	272	6	0	15	0	2	0	11	0	110	7	0	41	58	0	49	31	50	0	0	82	0	0	0	16	74	0	0	0	1	28	3	1450	1996	0	3	6	170726	0	0	0	0	1	23	18	0	12	0	1	0	12	2	4	0	3	35	0	10	6	44	9	5	10	2	14	698	4	1	0	0	0	8	0	4	0	9
EHA01589_bin.17	1154407	694	220860	518	57984	243422	6621	4035609	457	21228	95	55	43	38616	944	166743	17760	9	1524	957	891490	1171	10375	228	37	0	222616	42	17256	28881	422	82999	90	109	400315	12006	9652	2	0	338653	23	10	2663	24454	2176	13	108263	0	8374	542312	48818	278190	13105	190	64	146	4305523	28067	0	29	325101	155588	1609420	456	859	1816	14488	115	16124	139721	2071	66345	99	163808	5554	133	18221	22952	155186	161	130547	637027	1288	216	103081	388218	3827	938	40917	30429	1313	220	915	4	1850
EHA01589_bin.2	28767	1408	3	7	1670	6642	299	173446	0	40	54	13539	0	13052	112	5183	8162	12	0	31	1896	0	0	277	0	782	43581	0	431	67	952	892	48	2138	4071	218	315	0	0	11027	64	0	49	1166	108	487	12870	0	3923	20	15999	21129	16	31	21	6	187020	9054	451	0	512	52342	1581	10261	0	5	16342	24399	15212	30149	3467	14245	0	8814	827	0	15	331	59	10395	3953	665	0	14814	2968	852	18	1389	31	28735	20	0	18	0	18
EHA01589_bin.9	6588	12	441	28	663	58297	5124	957227	1868	107	14	6	2	10	6238	69143	1130	259	4	11	5642	9	26	9	6	43	4022	61	11398	237	10	22961	7609	8711	11649	3176	7095	0	0	140993	0	2	18	19797	15484	2	1630	0	532	1090	1911	525651	39824	0	764	33	1035215	1046	23	17	3150	79	19399	39741	23	542	35107	4	8	39935	6	18937	0	935319	537	6	4149	6665	20234	1181	1454	7912	254	1838	27089	2400	233	0	169	17	64	9	76	0	439
EHA01595_bin.11	315845	173	30553	954	238287	3078767	735	515515	7433	281	68	15	7	234	9778	70363	3869	894	237	380	182180	21	7688	350	0	1775	33897	108	3405	24028	103	5056	802	396	152356	1490	1999	3	0	142694	48	57	924	2989	13951	96	7822	76	1687	73551	97776	104584	193900	67	2211	23	555932	57412	1129	25	8927	929	93054	1455	16	1032	20944	7	2456	21181	66	9905	1	214072	1736	3	1858	1327	60128	1773	534724	36950	13	2839	1407552	78232	357	38	470	4536	74	4	1830	96	294
EHA01595_bin.1	9	0	263	114	3839	1252972	0	93980	211	42	11	0	5	3	142	4564	0	16	1	830	43	2	6	0	10	0	4	0	4	0	0	59	112	4	5	237	0	0	0	9388	1	0	0	4	23	5	3	0	0	719	57124	370262	157625	8	38	3	101193	32116	0	0	77	6	1509	3	25	9	19	0	0	7	0	2	0	9	256	17	2	18	72	4	8213	688	0	6	575633	8	59	6	74	0	222	0	123	0	66
EHA01595_bin.2	2555	913	5232	115	278309	805552	300	21866	1244	60	67	10	64	71	140	13751	1462	125	304	20	157366	4	0	10	2	134	2349	4	4731	731	581	16250	1301	676	13181	1243	2799	0	2	28548	2	12	646	1077	374	7	61826	0	741	12816	25809	25032	8656	7	275	4	23685	14908	79	1	301407	350	11834	2899	31	68	172579	18	0	8658	116	4171	2	4654	614	6	996	4545	4093	113	627061	4806	4	162	368420	67928	524	50	153	16	764	6	190	10	269
EHA01595_bin.5	358232	465	70791	276	19183	84432	2170	736594	158	6483	74	79	69	12615	29	55121	6354	8	614	325	294384	290	3168	149	34	194	72073	267	3658	9774	334	28092	57	67	128435	3431	2053	246	129	112378	59	65	837	8468	700	25	34593	58	3003	175689	15454	83460	4337	114	6	123	776585	8801	113	97	102791	51476	527889	241	249	664	4409	156	5354	46265	910	21984	68	51252	1196	65	6293	7770	48638	211	43413	207911	510	221	52914	127130	1377	331	12363	9714	185	83	521	40	609
EHA01595_bin.6	66	3186	106	4	103383	389093	2913	1559	199	35	21	2927	4	1583	36	1187	91	9	0	6	223325	0	0	2	6	13577	1202	0	3632	6312	1858	216	295	181	168	219	2123	0	0	2588	2	0	7	10926	417	7	347	0	40	200	108426	34790	727	9	42	10	1668	63242	8922	0	9375	6629	93143	783	0	53	653	5184	667	939	94	419	0	77630	313	0	26	37	2254	560	233331	37788	0	795	178423	97481	20	55	100	1329	115	0	2	0	52
EHA01595_bin.7	98762	4568	38040	27638	6542	3275257	1453	258761	338	234	589	1412	1782	1058	1054	40361	13548	24	1867	770	69303	29	1157	3627	115	21374	14882	1933	6234	156250	2989	9570	534	791	86227	219	3832	1403	1214	82502	806	624	5923	5845	2731	821	4704	759	6547	93335	325105	23169	2576	700	23	2033	277518	185359	14018	772	2785	4270	389694	3495	22	6727	73765	2418	1314	4863	1469	2241	326	36732	180	287	6802	2776	42650	2545	14596	153348	2330	3530	1479842	29824	577	724	406	2446	137	7	52370	647	1931
EHA01595_bin.8	0	0	168	51	2746	8741924	0	174744	382	74	6	0	17	0	111	1224	1	6	34	1999	84	1	2	0	6	0	0	2	0	0	0	84136	226	2	4	1033	0	1	0	2424	2	0	1	4	37	3	4	15	0	448	48993	2271529	14404	0	13	0	187973	28232	0	0	102212	0	31	15	7	1	163	0	0	1488	0	742	0	0	276	18	0	24240	6327	38	6023	2	4	77	4001168	70	48	0	152	2	320	2	67	1	70
EHA01595_bin.9	0	35	0	365	7784	348983	18	8579	0	1	0	258	0	249	0	43	37	0	0	0	4916	0	0	0	0	4133	138	0	17	85	40	15	0	5	9095	7	20	0	0	142	0	0	0	102	2	0	17	0	23	0	98573	150	2	0	0	0	9678	57704	2883	0	5837	1251	3895	85	0	0	3	441	1029	1931	11	920	0	3335	83	0	0	2	14091	477	17873	1668	0	568	163482	2105	0	10	2	1795	0	0	588	0	2
EHA01598_bin.13	5	12	14	0	16	3	68	220	73665	2695	1728	0	57	176	792	1997	132	1105	9	5	74	230	4	0	148	4	187	0	641	185	0	1065	8474	82	21	30324	263	15	4	4511	0	2	9	296	3510	10	4	2	42	34	65	1790	163253	16	2621	2	188	36	2	0	13	789	3	387	317	1115	25	6	0	189	0	107	66	17	8753	235	474	311	3	420	17	0	20	720	8	36	612	0	5257	2	2366	157	11	18	6079
EHA01598_bin.2	0	0	0	12	0	0	133	21	196529	1397	452	0	206	104	875	533	18	230	55	888	14	190	4	0	167	0	69	4	1739	174	0	9	87476	12	0	33318	957	0	0	1153	4	0	0	605	7135	137	0	20	6	2	4	162	387038	141	489	44	12	0	0	2	9	426	0	51	551	724	0	2	0	218	0	128	2	0	32169	410	4	8	0	1667	2	0	10	2461	0	12	3148	0	3000	0	9295	166	46	30	6265
EHA01598_bin.4	1	0	0	70	4	27	69	19	49855	1292	544	0	77	26	4609	242	12	520	14	206	72	108	2	0	92	0	8	0	1819	89	0	12	15222	2	6	5164	1098	12	16	592	0	0	0	307	1263	14	0	8	6	2	27	969	70148	12	1225	24	21	6	0	0	22	69	13	12	280	318	0	0	0	77	0	37	12	0	8090	109	0	4	0	143	4	4	5	138	16	50	777	0	2422	0	15682	107	94	12	5030
EHA01598_bin.9	4	0	22	906	1111	1734	986	120	825486	48679	6970	0	1276	260	42920	3995	66	15052	1000	1933	39	4124	11	0	3789	0	8	270	140	241	0	35	490023	24	3	826890	110	33	31	8439	20	5	0	4224	67226	1510	0	591	22	27	116	1200	2017715	1461	37090	85	108	61	0	106	120	1179	16	174	6999	6118	0	0	0	981	0	511	157	0	184843	8520	0	23	0	253	2412	4	189	307	723	22	16188	0	94716	0	687391	1947	1643	486	35543
EHA01634_bin.19	21146	7	1061	9	3709	806627	47	183814	120	24	3	0	0	7	129	2609	74	60	36	60	7912	0	439	35	0	2	751	2	78	51	0	377	23	33	323	162	47	0	0	4906	11	0	8	141	25	2	304	16	29	2474	4959	13079	11582	4	138	1	198330	2833	0	0	68	18	15586	77	0	16	262	0	91	1952	0	953	2	1096	16	0	25	107	34683	121	8084	6105	0	209	366341	3316	7	4	50	149	0	0	25	5	33
EHA01634_bin.28	33092	4115	21780	46509	55372	114713	18522	37358	5424	90	8515	2214	312	561	10801	14909	7105	14	14365	11539	150565	180	10798	295	5087	77118	835	73979	2225	4552	2441	2828	246	252	15998	133	1151	46680	31395	35139	207	5474	458	83728	720	331	373	10619	2916	60039	106988	42113	24556	325	45	416	35303	54165	45137	27684	21827	2580	104622	1474	746	1036	23725	4227	916	2629	4309	1177	6449	23108	54	13356	400	747	17817	1558	130093	36539	30501	2385	52864	62502	207	1598	159	2038	26	176	105120	8926	311
EHA01634_bin.3	116619	3414	9584	55	11926	91329	1316	582833	1134	86	8	15	6	56	2526	85740	26277	167	30	69	88974	26	1180	21	0	419	54532	6	30441	3910	2247	4639	270	343	3871	336	17903	0	0	173408	4	3	9117	4467	2013	20	10140	0	12344	23485	41634	159593	18111	4	507	4	624727	24018	287	10	5170	198	46739	1487	10	202	8702	67	692	17682	12	8396	0	83658	285	2	5760	1211	61753	385	27425	18503	2	547	41409	37780	67	6	176	1290	96	0	202	18	137
EHA01634_bin.46	406	3464	1141	1379	66557	1214	1052	733	246	315	2332	2911	2530	100992	2520	331	99906	351	6555	668	2944	14	1563	1051	163	19348	26798	14249	38676	7962	2219	34968	623	407	212668	88	23041	843	722	743	5368	1015	6587	4348	13347006	97200	4464	1081	46480	2756	8751	891	3223	402	947	1981	713	5117	12589	6338	3766	408583	412955	1898	13	529539	6777	5008	26588	1657	1806	862	433	3362	294	316	516781	9899	1162	1735	150461	163144	8372	2517	572	1254	1714	659	633	51805	6828	4	2732	1045	4363
EHA01634_bin.6	0	0	6	118	748	1244720	4	536	1789	408	240	0	33	2	1296	78	0	108	32	69	0	10	6	0	31	0	0	6	0	0	0	28	1882	0	0	4022	0	1	1	164	2	2	0	13	472	70	0	8	0	10	29182	29595	9700	12	232	2	531	16897	0	4	226	15	23	2	112	94	0	0	0	7	0	6	6	1	3296	71	0	15	18	2	1539	7	3	3	568533	2	488	0	762	0	4029	39	278	10	1276
EHA01634_bin.9	109316	8	107187	15	527	15	36	22	0	28	3	8	6	6	0	4	12	2	7	6	1857	0	1	0	4	1	6	9	14	14	4	24376	0	302	6120	17	4	6	0	26	2	2	1	122	6	0	10	0	10	232939	254	15585	17	6	2	4	29	127	0	1	6725	21	1196	1587	2	9	469	2	6	631	11	278	0	43	42	2	63	6829	5845	6	1033	554	3	8	2	898	6	12	65	2	2	2	26	0	11
EHA01666_bin.11	15	3	10	1866	0	27	6	0	18102	8373	4434	0	7150	672	34029	308	58	5778	2304	9223	37	275	120	0	1454	0	14	393	34	340	2	4	12255	2	3	41569	16	49	40	786	26	20	3	20	26441	9965	1	360	34	8	111	2	77456	828	14515	1925	8	98	2	132	186	2702	4	41	2547	14304	2	1	2	73	6	28	764	0	247952	3609	0	1	2	126	15	0	140	167	22	6	82781	6	16144	4	336168	653	3487	179	194974
EHA01666_bin.15	4	32600	2	648	7	8	224	8	68056	3926	13829	11667	4614	4476	13628	74	69693	297	286	1394	30	530	62	2477	452	0	8373	92	18473	215	17556	22289	104386	2470	0	87306	9234	35	20	176	2525	2	4560	1094	43907	3976	3868	127	28100	0	8	39	851930	3207	684	4533	18	18	0	26	48	21207	0	14969	6512	13142	0	22553	7083	19125	28303	7758	98	0	426045	1108	4742	5243	0	11854	10	0	49	18921	5	26	13606	10748	7736	16011	89221	1946	1250	492	63354
EHA01666_bin.16	23	46	26	24	281	193	2391	5610	9497	127	24	0	6	31	624	24489	6084	2349	4	32	1397	93	0	2	0	191	6677	2	18570	504	37	67734	13654	1853	107	4202	11044	0	0	52035	3	2	89	8771	72117	3	101	0	2737	81	441	34807	39730	6	3489	39	5785	229	123	0	41	126	59	8362	211	1669	398	12	7	4418	22	1947	18	938	6769	4	18864	18871	57	8025	554	25	0	11724	104	556	1381	14	180	27	509	54	35	0	1471
EHA01666_bin.21	2	2	7	10	0	6	154	30	50043	1700	472	0	30	66	236	820	111	1103	14	114	267	97	0	0	98	0	1266	6	6721	572	0	131	51299	43	14	62984	3939	3	0	1771	2	0	4	570	4842	69	0	0	58	15	8	359	405560	22	2755	46	17	4	0	6	2	274	2	277	316	670	3	8	0	1063	0	502	0	2	22516	199	5	42	6	7083	0	2	6	10571	0	96	719	0	3316	0	1738	81	24	12	28050
EHA01666_bin.24	1	13505	0	19	6	20	17	68	5351	6184	1039	5634	2207	3555	1487	106	34828	4170	15	27	36	124	58	1336	74	10	5161	13	8081	57	7460	11016	5643	1359	0	10130	4223	19	8	161	1213	1	2668	70	7563	1491	2365	0	14270	0	6	117	54296	1528	8975	2670	95	25	4	5	13	15556	15	7825	202	9253	13	11440	3195	9081	11541	3718	18	2	55011	161	2596	2828	3	8083	9	6	16	12772	3	8	2511	4361	10304	6986	10364	40	35	13	5071
EHA01666_bin.26	104	1	34	17	4	44	130	667	61147	989	308	0	165	104	324	233	52	181	31	595	337	88	8	1	55	2	102	0	1750	78	0	26	104378	11	8	36266	1038	4	2	588	0	0	1	561	7248	150	26	2	27	77	67	207	209970	133	519	27	719	22	0	0	28	438	4	73	205	779	9	0	0	344	0	167	0	36	29027	158	21	2	65	1305	5	0	0	1908	12	163	3163	0	1692	2	10432	63	26	16	6330
EHA01666_bin.8	0	0	2	4	2	10	50	4	24204	3172	1206	4	56	921	1133	143	68	2924	10	8	3	152	2	0	58	0	380	0	203	195	8	1382	7328	10	13	34445	131	6	3	252	0	0	0	163	5679	0	0	0	42	5	4	77	168837	203	6705	8	2	3	0	0	13	3692	2	45	428	2474	1	0	0	112	2	41	12	0	62002	220	163	378	1	1715	4	5	20	2766	7	2	970	0	5897	0	16750	123	2	12	20730
EHA01709_bin.1	24	5	17	138	8	186	29	3985	105921	151	43	2	31	106	877	8925	22	796	535	3955	8790	20	29428	0	18	2	147	905	1638	1463	0	533	5556	57	21	64404	964	8	2	17959	90	51	0	98	342	813	9	56	16	29	130	648	141603	47	1926	21	4442	92	0	335	26	366	4139	219	51	401	276	6	9	7239	8	3652	2	150	2002	23	2	136	567	759	19	1836	26	1086	52	3773	139	0	228	5	24	20	201	2144	165
EHA01709_bin.31	18	12	91	576	59	253	3	213	798	12986	354	14	10461	486	3300	115	193	15462	104	728	119	54	148	0	241	16	33	12	106	58	19	72	5548	19	30	22712	47	0	0	193	29	0	13	28	21160	9639	10	45	88	240	337	833	5901	461	38143	1338	234	180	10	2	33	2445	87	64	496	15315	20	53	17	186	6	106	65	53	235230	672	35	20	44	124	135	35	9	152	102	42	192542	5	25145	37	290159	118	1156	41	228653
EHA01709_bin.35	12	12	261	14	72	687	72	26936	26419	3388	1267	2	311	332	899	1107	35	4444	169	84	8502	255	2	4	48	14	22	19	8931	163	11	263	51039	50	321	12185	5449	26	27	2293	6	0	3	287	8190	32	40	0	13	598	786	77480	161745	201	10591	70	30036	432	0	3	78	1217	2383	271	682	769	73	17	2	3075	2	1523	6	174	19955	78	11	76	127	406	156	948	24	544	325	3807	22788	4	6010	8	16209	204	33	70	14009
EHA01709_bin.43	6	0	6	28	3	25	173	169	107610	1328	495	0	254	109	762	433	24	295	36	806	52	163	18	0	135	0	81	1	1972	137	0	36	109484	12	0	40235	1163	2	6	946	0	0	5	617	8690	177	2	28	11	18	160	152	295405	118	670	70	135	111	0	0	28	489	2	53	369	864	2	4	2	297	0	119	4	3	40856	283	23	7	0	1740	5	1	3	2476	23	14	3554	0	2301	0	11433	91	54	6	6911
EHA01709_bin.44	6	391	0	39	12	4	0	212	0	4	0	12	2	205	12	386	200	3	0	38	160	6	0	0	2	0	193	0	982	0	298	9256	0	1503	1	1263	629	0	0	759	2	0	106	0	57	36	10	0	108	0	33230	2664	1	12	13	15	321	21173	0	0	0	848	29	5874	10	65	0	14	29	22977	26	12384	0	51	191	8	13	3093	4	1799	21	7	0	2128	0	95	15	20	4	49	12	8	110	0	128
EHA01709_bin.60	0	0	0	577	1171453	3752	2	92	71	298	7	0	6	0	34	57	0	0	0	11	0	0	2	0	0	0	0	0	0	4	0	0	133	0	0	97	0	0	0	95	0	0	0	0	11	2	0	0	0	2	102	6115	2087	2	8	0	74	69	0	0	44	0	6	0	2	0	0	0	0	0	0	0	0	0	82	2	0	0	6	2	2631680	0	0	10	1704	0	0	0	516	0	70	0	1221	0	33
EHA01709_bin.62	48	38	9	22	329	98	2870	6944	15139	102	43	2	9	23	583	38666	6893	2112	2	16	1646	78	0	0	0	256	7306	6	16414	854	20	102783	8540	1354	122	2196	10737	2	4	74692	2	0	103	10822	74273	8	96	2	3206	40	478	44848	45737	12	5099	7	8065	267	168	2	23	122	35	5438	187	1443	352	2	2	3513	6	1767	3	923	4544	4	19669	31297	20	9974	778	14	2	13776	51	707	832	7	171	30	249	56	32	0	1424
EHA01709_bin.65	0	0	0	2	2	0	18	2	21232	1877	901	2	36	432	671	85	20	1436	0	10	4	115	0	0	54	0	94	0	13	126	0	471	4639	2	16	20653	11	6	12	147	2	0	0	125	2243	8	0	0	4	8	0	59	95486	69	3349	12	0	0	0	0	2	1647	0	2	239	1239	0	2	0	36	0	29	22	2	27739	148	5	137	0	830	2	0	18	1204	0	0	424	0	3169	0	7091	80	2	8	9657
