sample,individual
EHI01101,SD0294501
EHI01118,SD0294501
EHI01126,SD0294501
EHI01135,SD0294501
EHI01653,SD0294501
EHI01658,SD0294501
EHI01127,SD0294601
EHI01130,SD0294601
EHI01131,SD0294601
EHI01195,SD0294601
EHI01646,SD0294601
EHI01089,SD0294701
EHI01091,SD0294701
EHI01093,SD0294701
EHI01233,SD0294701
EHI01647,SD0294701
EHI01088,SD0294801
EHI01090,SD0294801
EHI01096,SD0294801
EHI01219,SD0294801
EHI01640,SD0294801
EHI01087,SD0294901
EHI01098,SD0294901
EHI01099,SD0294901
EHI01100,SD0294901
EHI01634,SD0294901
EHI01650,SD0294901
EHI01113,SD0295001
EHI01137,SD0295001
EHI01139,SD0295001
EHI01146,SD0295001
EHI01641,SD0295001
EHI01649,SD0295001
EHI01122,SD0295101
EHI01143,SD0295101
EHI01181,SD0295101
EHI01221,SD0295101
EHI01651,SD0295101
EHI01123,SD0295201
EHI01142,SD0295201
EHI01147,SD0295201
EHI01189,SD0295201
EHI01642,SD0295201
EHI01140,SD0295301
EHI01144,SD0295301
EHI01194,SD0295301
EHI01196,SD0295301
EHI01635,SD0295301
EHI01092,SD0295601
EHI01094,SD0295601
EHI01095,SD0295601
EHI01097,SD0295601
EHI01639,SD0295601
EHI01655,SD0295601
EHI01800,SD0295801
EHI01828,SD0295801
EHI01788,SD0295901
EHI01795,SD0295901
EHI01103,SD0296001
EHI01117,SD0296001
EHI01153,SD0296001
EHI01220,SD0296001
EHI01654,SD0296001
EHI01796,SD0296101
EHI01822,SD0296101
EHI01111,SD0296201
EHI01155,SD0296201
EHI01184,SD0296201
EHI01192,SD0296201
EHI01110,SD0296301
EHI01133,SD0296301
EHI01136,SD0296301
EHI01185,SD0296301
EHI01659,SD0296301
EHI01109,SD0296401
EHI01132,SD0296401
EHI01148,SD0296401
EHI01223,SD0296401
EHI01637,SD0296401
EHI01107,SD0296501
EHI01138,SD0296501
EHI01145,SD0296501
EHI01188,SD0296501
EHI01657,SD0296501
EHI01121,SD0296601
EHI01129,SD0296601
EHI01150,SD0296601
EHI01224,SD0296601
EHI01643,SD0296601
EHI01112,SD0296701
EHI01116,SD0296701
EHI01124,SD0296701
EHI01193,SD0296701
EHI01645,SD0296701
EHI01102,SD0296801
EHI01114,SD0296801
EHI01152,SD0296801
EHI01182,SD0296801
EHI01648,SD0296801
EHI01108,SD0296901
EHI01128,SD0296901
EHI01149,SD0296901
EHI01222,SD0296901
EHI01652,SD0296901
EHI01104,SD0297001
EHI01141,SD0297001
EHI01151,SD0297001
EHI01187,SD0297001
EHI01638,SD0297001
EHI01791,SD0297101
EHI01823,SD0297101
EHI01793,SD0297201
EHI01797,SD0297201
EHI01798,SD0297301
EHI01820,SD0297301
EHI01789,SD0297401
EHI01790,SD0297401
EHI01802,SD0297501
EHI01821,SD0297501
EHI01115,SD0297601
EHI01120,SD0297601
EHI01125,SD0297601
EHI01190,SD0297601
EHI01636,SD0297601
EHI01660,SD0297601
EHI01106,SD0297701
EHI01134,SD0297701
EHI01183,SD0297701
EHI01186,SD0297701
EHI01644,SD0297701
EHI01105,SD0297801
EHI01119,SD0297801
EHI01154,SD0297801
EHI01191,SD0297801
EHI01656,SD0297801
EHI01661,SD0297801
EHI01794,SD0297901
EHI01801,SD0297901
EHI01787,SD0298001
EHI01792,SD0298001
EHI01799,SD0298101
EHI01824,SD0298101
