"","Sample","sample_code","species","region","sample_type","order","sex","country","latitude","longitude","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C","state"
"1","EHI01801","AIJ37E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Colon contents","Accipitriformes","Male","United States",27.34788,-98.23905,0.1878,60895286,50108890,0.034991599656779,1215533615,7774744948,0.0502062469750033,12.9076223267424,0.931582090203449,"Texas"
"2","EHI01644","AIJ15E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Colon contents","Accipitriformes","Male","United States",27.34788,-98.23905,0.431,69857788,52199160,0.0483389378581341,2190124363,7479792300,0.121788858403408,15.0099316819679,0.938803243904165,"Texas"
"3","EHI01822","AIH31E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.7935,153980774,61053756,0.0172816892162518,13312271862,9426682207,0.0325204915224495,16.9392368828427,0.982910454935407,"Florida"
"4","EHI01146","AIG09E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.0015,26549002,3445444,0.0912589032592138,3089107080,478267809,0.185953036548442,19.4692480910957,0.606532483791083,"Florida"
"5","EHI01660","AIJ04E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Colon contents","Accipitriformes","Female","United States",27.34788,-98.23905,0.0442,44204062,35703190,0.117311007693785,931852319,4767386323,0.241298199575773,11.835825501369,0.9321158071326,"Texas"
"6","EHI01636","AII97E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Stomach contents","Accipitriformes","Female","United States",27.34788,-98.23905,0,39855802,32920370,0.0975010327976312,0,5223461135,0.211462649016704,11.9745694476557,0.931002330643258,"Texas"
"7","EHI01089","AIF81E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.6039,38082656,15720033,0.0386259125663985,3046705271,2298098614,0.100490617486791,15.507180766522,0.949988040277412,"Florida"
"8","EHI01196","AIG48E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.772,17324726,11288736,0.0277424130440028,802437639,1732535639,0.0515878857127037,15.2541183045961,0.839728064721938,"Florida"
"9","EHI01119","AIJ20E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Stomach contents","Accipitriformes","Female","United States",27.34788,-98.23905,0,25557202,20129784,0.0757571538478062,0,3393895657,0.181761294639048,12.7020146007893,0.836856236646161,"Texas"
"10","EHI01219","AIF86E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Female","United States",29.94825,-82.32286,0,28555532,23541124,0.0355423140284622,0,4193717507,0.055719902207963,12.6468378160195,0.909250472361577,"Florida"
"11","EHI01147","AIG37E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0,21537840,17335962,0.0590376353664673,0,2935187528,0.145101211947675,12.3531552022007,0.876007432511531,"Florida"
"12","EHI01824","AIJ53E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Stomach contents","Accipitriformes","Male","United States",27.34788,-98.23905,0.0126,59242788,49804470,0.0239039677424999,1052735409,7671855404,0.0416793038572575,12.8054631371322,0.930809069919893,"Texas"
"13","EHI01796","AIH37E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.8136,51361730,5372689,0.027175070276468,6778293215,830288748,0.039256373250251,17.6846484661023,0.960986146497493,"Florida"
"14","EHI01787","AIJ42E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Stomach contents","Accipitriformes","Female","United States",27.34788,-98.23905,0.0042,73832954,61499388,0.0312251345595838,1330425274,9537166543,0.0493630797818236,12.201779309101,0.962527503772286,"Texas"
"15","EHI01799","AIJ59E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Colon contents","Accipitriformes","Male","United States",27.34788,-98.23905,0.2004,59710014,47444560,0.0208709723714811,1405862520,7353792851,0.0423903494905491,13.0702619957954,0.942719798851127,"Texas"
"16","EHI01140","AIG42E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.0016,24469060,264552,0.0251520434785345,3519645399,41389705,0.0541884883098345,19.9704786375806,0.625646972343317,"Florida"
