Sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C
EHI01797,AII59E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0,35447356,28576684,0.01658169705660510,0,5205102278,0.03729672646998760,11.8625855071457,0.92648272277186
EHI01801,AIJ37E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Colon contents,Accipitriformes,Male,United States,27.34788,-98.23905,0.18780000000000000,60895286,50108890,0.034991599656779000,1215533615,7774744948,0.05020624697500330,12.9076223267424,0.931582090203449
EHI01644,AIJ15E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Colon contents,Accipitriformes,Male,United States,27.34788,-98.23905,0.431,69857788,52199160,0.048338937858134100,2190124363,7479792300,0.12178885840340800,15.0099316819679,0.938803243904165
EHI01790,AII75E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Stomach contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.009900000000000000,37114160,30022540,0.03574744267886990,872329573,4614054944,0.049731908079593000,12.0900636231426,0.922550544439607
EHI01822,AIH31E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.7935,153980774,61053756,0.01728168921625180,13312271862,9426682207,0.03252049152244950,16.9392368828427,0.982910454935407
EHI01117,AIH26E1L1I1,Coragyps atratus,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.0,19220816,15053401,0.03250172954366630,0,2780003173,0.06710576639388600,12.5462861494666,0.883889876915211
EHI01146,AIG09E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.0015,26549002,3445444,0.09125890325921380,3089107080,478267809,0.18595303654844200,19.4692480910957,0.606532483791083
EHI01660,AIJ04E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Colon contents,Accipitriformes,Female,United States,27.34788,-98.23905,0.044200000000000000,44204062,35703190,0.11731100769378500,931852319,4767386323,0.24129819957577300,11.835825501369,0.9321158071326
EHI01636,AII97E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Stomach contents,Accipitriformes,Female,United States,27.34788,-98.23905,0.0,39855802,32920370,0.09750103279763120,0,5223461135,0.21146264901670400,11.9745694476557,0.931002330643258
EHI01127,AIF70E1L1I1,Coragyps atratus,"Florida, Lake Butler",Colon contents,Accipitriformes,Female,United States,30.02768,-82.34884,0.0753,42457266,30838276,0.05138139470660860,1442812985,4180238155,0.1624313994656470,12.5140040704646,0.902072104065646
EHI01089,AIF81E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.6039,38082656,15720033,0.03862591256639850,3046705271,2298098614,0.100490617486791,15.507180766522,0.949988040277412
EHI01196,AIG48E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.772,17324726,11288736,0.027742413044002800,802437639,1732535639,0.051587885712703700,15.2541183045961,0.839728064721938
EHI01119,AIJ20E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Stomach contents,Accipitriformes,Female,United States,27.34788,-98.23905,0.0,25557202,20129784,0.07575715384780620,0,3393895657,0.1817612946390480,12.7020146007893,0.836856236646161
EHI01087,AIG04E1L1I1,Coragyps atratus,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.2016,30333886,23110756,0.0663627907331773,901666067,3302283366,0.13738635036188900,13.5841024789703,0.874359790901148
EHI01219,AIF86E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.0,28555532,23541124,0.035542314028462200,0,4193717507,0.05571990220796300,12.6468378160195,0.909250472361577
