"genome"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"completeness"	"contamination"	"mag_size"
"153"	"EHA01589_bin.14"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Faecalicoccus"	"s__Faecalicoccus sp900546545"	86.79	1.266	1865859
"165"	"EHA01589_bin.17"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__Escherichia coli"	99.62	0.104	4669122
"91"	"EHA01589_bin.2"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter_D"	"s__"	97.23	1.102	1716490
"151"	"EHA01589_bin.9"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__Peptostreptococcus russellii_A"	99.3	0	2014505
"164"	"EHA01595_bin.11"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium paraputrificum"	99.19	1.612	3725538
"32"	"EHA01595_bin.1"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Phocaeicola"	"s__Phocaeicola vulgatus"	95.46	1.503	4255551
"222"	"EHA01595_bin.2"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__"	100	3.37	2316780
"218"	"EHA01595_bin.5"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__Escherichia coli"	52.91	0.338	2174755
"145"	"EHA01595_bin.6"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__Helicobacter_D"	"s__"	99.64	0.353	1613761
"225"	"EHA01595_bin.7"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__GCA-900066495"	"s__"	84	6.572	1665645
"89"	"EHA01595_bin.8"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides fragilis"	99.25	0	5020724
"48"	"EHA01595_bin.9"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__"	"s__"	97.06	0.997	1635587
"81"	"EHA01598_bin.13"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__"	"s__"	52.5	0	1062340
"2"	"EHA01598_bin.2"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Bulleidia"	"s__"	94.28	2	1402507
"194"	"EHA01598_bin.4"	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__"	"s__"	53.53	1.102	859429
"136"	"EHA01598_bin.9"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__"	"s__"	90.66	1.303	2345063
"95"	"EHA01634_bin.19"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium tertium"	95.65	1.148	3520802
"41"	"EHA01634_bin.28"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Anaerotruncus"	"s__"	93.28	0.938	1876391
"106"	"EHA01634_bin.3"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium_J"	"s__"	93.63	0	2482936
"58"	"EHA01634_bin.46"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Catellicoccaceae"	"g__Catellicoccus"	"s__Catellicoccus marimammalium"	98.34	0.736	1245718
"105"	"EHA01634_bin.6"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides stercoris"	97.58	0.464	3590997
"26"	"EHA01634_bin.9"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Plesiomonas"	"s__Plesiomonas shigelloides"	90.6	2.589	2746158
"67"	"EHA01666_bin.11"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Alloprevotella"	"s__"	98.65	0.374	2276711
"57"	"EHA01666_bin.15"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Porphyromonadaceae"	"g__Porphyromonas"	"s__"	99.92	0	2602434
"224"	"EHA01666_bin.16"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	68.1	2.923	1198117
"65"	"EHA01666_bin.21"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Bulleidia"	"s__"	95.66	1.068	1515236
"140"	"EHA01666_bin.24"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__"	"s__"	57.21	0	1710717
"76"	"EHA01666_bin.26"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Bulleidia"	"s__"	87.61	0.136	1181433
"45"	"EHA01666_bin.8"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__"	"s__"	81.43	8.027	1842423
"152"	"EHA01709_bin.1"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium_H"	"s__Clostridium_H massiliodielmoense"	87.45	6.479	2275212
"54"	"EHA01709_bin.31"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__"	98.41	0.694	2419316
"143"	"EHA01709_bin.35"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__"	57.36	1.724	1567091
"70"	"EHA01709_bin.43"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Bulleidia"	"s__"	91.66	3.183	1597129
"12"	"EHA01709_bin.44"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter_D"	"s__Campylobacter_D volucris"	74.74	8.693	1084458
"180"	"EHA01709_bin.60"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Phocaeicola"	"s__Phocaeicola coprophilus"	92.73	1.069	3140143
"128"	"EHA01709_bin.62"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	77.38	4.487	1623513
"121"	"EHA01709_bin.65"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__"	"s__"	50.86	3.448	1138975
