genome	domain	phylum	class	order	family	genus	species	completeness	contamination	mag_size
EHA02255_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Cellulosilyticum	s__	99.74	1.69	3957402
EHA02080_bin.6	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__Enterosoma	s__	93.47	0.15	1355789
EHA04766_bin.21	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__JAJQCF01	s__JAJQCF01 sp021202845	98.28	0	2037785
EHA01897_bin.2	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella intestinalis	64.22	1.56	1184703
EHA04641_bin.19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	s__	94.79	9.06	2557605
EHA01893_bin.24	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Peptacetobacter	s__Peptacetobacter sp900550335	72.19	7.15	1559926
EHA02080_bin.22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ventrimonas	s__	69.77	0.67	1721106
EHA01598_bin.2	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia	s__	94.28	2	1402507
EHA02263_bin.11	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__	75.5	5.36	3929665
EHA04649_bin.16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__DTU064	s__DTU064 sp021202555	54.17	0.01	969038
EHA02079_bin.24	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__Coproplasma	s__	96.67	4.62	1562646
EHA04661_bin.30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__SIG308	s__	60.58	8.06	1233601
EHA02258_bin.10	d__Bacteria	p__Bacillota	c__Bacilli	o__Haloplasmatales	f__Turicibacteraceae	g__Turicibacter	s__	59.86	3.19	1373501
EHA02263_bin.2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium dinanensis	91.75	0.15	2308532
EHA04673_bin.4	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__UBA2883	s__UBA2883 sp021205645	75.09	0.15	1305338
EHA01872_bin.15	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	96.79	0.14	2210791
EHA04652_bin.10	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__RUG14156	g__Galligastranaerophilus_A	s__	65.81	3.24	1312158
EHA02096_bin.20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	96.51	0.23	2220156
EHA04646_bin.23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	s__	96.37	4.04	3221422
EHA02077_bin.13	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Avigastranaerophilus	s__	55.58	6.89	1482256
EHA04656_bin.43	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faeciplasma	s__	74.18	1.46	1247171
EHA00551_bin.1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp000282275	64.16	1.395	3566325
EHA02091_bin.21	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__	68	8.42	1494142
EHA02080_bin.8	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__UBA71	s__	72.63	1.05	1227405
EHA02080_bin.18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	s__	50.91	7.69	1134503
EHA02273_bin.17	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli	100	0.05	4795179
EHA01709_bin.77	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__	75.87	4.17	4212517
EHA02086_bin.16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__JAJPXI01	s__	54.45	8.33	1759934
EHA01927_bin.31	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900555845	53.16	0.56	637016
EHA02094_bin.13	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__UBA953	g__Spyradosoma	s__	96.36	0.25	1815711
EHA01914_bin.11	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia spiroformis_A	55.73	2.79	1533943
EHA02269_bin.13	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__JAFAFE01	s__JAFAFE01 sp023423655	84.78	1.49	2414850
EHA01880_bin.15	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella sp900539715	56.39	8.36	1527877
EHA02089_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__Coproplasma	s__	74.87	2.48	1232024
EHA01915_bin.20	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Fimiplasma	s__	96.94	0.05	1555354
EHA02089_bin.10	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp021199635	90.87	1.71	1802223
EHA04665_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Monoglobales	f__Monoglobaceae	g__Monoglobus	s__	86.46	1.03	2228147
EHA02075_bin.23	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__Enterosoma	s__	91.21	2.86	1854043
EHA04676_bin.22	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG11867	s__	88.41	2.06	2108109
EHA04641_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__	99.69	1.9	2891073
EHA02018_bin.5	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__	99.93	0	2850557
EHA04639_bin.13	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__Coproplasma	s__	92.95	2.04	2254720
EHA04659_bin.26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_I	s__Eubacterium_I sp021204085	50.72	5.04	2681716
EHA01894_bin.26	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_B	s__Fusobacterium_B sp900541465	57.85	4.7	956163
EHA04656_bin.22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__CAG-274	g__	s__	89.58	4.11	2046809
EHA04651_bin.2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__JAJQCF01	s__JAJQCF01 sp021202845	51.78	0	980367
EHA00551_bin.6	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus	s__	92.43	0.044	4746767
EHA04642_bin.24	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp021200415	94.68	3.2	1690287
EHA02098_bin.9	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__	92.79	0.75	1976242
EHA02085_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faeciplasma	s__	100	1.85	2144763
EHA04656_bin.37	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-273	s__	86.61	0.09	930461
